2026-04-12 19:34:35,435 INFO 起動しました
2026-04-12 19:34:35,483 DEBUG クリップボード変化: 175文字, CAPTURE含む=False
2026-04-12 19:34:46,688 DEBUG クリップボード変化: 963文字, CAPTURE含む=False
2026-04-12 19:35:47,977 INFO 起動しました
2026-04-12 19:35:48,025 DEBUG クリップボード変化: 963文字, CAPTURE含む=True
2026-04-12 19:35:48,025 INFO キャプチャ検出: -7399011793595068704
2026-04-12 19:36:28,859 DEBUG クリップボード変化: 963文字, CAPTURE含む=True
2026-04-12 19:36:28,859 INFO キャプチャ検出: 1703129486200172874
2026-04-12 19:39:49,761 DEBUG クリップボード変化: 51文字, CAPTURE含む=False
2026-04-12 19:40:06,570 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-12 19:44:45,441 INFO 弱点マップ更新: 3カテゴリ
2026-04-12 19:44:55,505 INFO 起動しました
2026-04-12 19:44:55,555 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-12 19:47:36,433 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 05:59:22,864 INFO 起動しました
2026-04-13 06:01:39,798 DEBUG クリップボード変化: 10文字, CAPTURE含む=False
2026-04-13 06:06:43,218 DEBUG クリップボード変化: 13文字, CAPTURE含む=False
2026-04-13 06:09:56,157 DEBUG クリップボード変化: 132文字, CAPTURE含む=False
2026-04-13 06:12:56,280 DEBUG クリップボード変化: 24文字, CAPTURE含む=False
2026-04-13 06:13:20,298 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 06:13:51,520 DEBUG クリップボード変化: 24文字, CAPTURE含む=False
2026-04-13 06:14:41,156 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 06:17:49,478 DEBUG クリップボード変化: 24文字, CAPTURE含む=False
2026-04-13 06:18:30,305 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 06:19:22,338 DEBUG クリップボード変化: 89文字, CAPTURE含む=False
2026-04-13 06:19:58,357 DEBUG クリップボード変化: 3353文字, CAPTURE含む=False
2026-04-13 06:21:30,415 DEBUG クリップボード変化: 35文字, CAPTURE含む=False
2026-04-13 06:21:44,825 DEBUG クリップボード変化: 40文字, CAPTURE含む=False
2026-04-13 06:22:36,055 DEBUG クリップボード変化: 38文字, CAPTURE含む=False
2026-04-13 06:22:58,471 DEBUG クリップボード変化: 22文字, CAPTURE含む=False
2026-04-13 06:24:28,926 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 06:24:38,531 DEBUG クリップボード変化: 13文字, CAPTURE含む=False
2026-04-13 06:26:18,593 DEBUG クリップボード変化: 40文字, CAPTURE含む=False
2026-04-13 06:28:13,865 DEBUG クリップボード変化: 89文字, CAPTURE含む=False
2026-04-13 06:28:41,882 DEBUG クリップボード変化: 3353文字, CAPTURE含む=False
2026-04-13 06:29:33,115 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 06:30:23,544 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 06:30:43,559 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 06:34:19,667 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 06:35:29,310 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 06:36:09,328 DEBUG クリップボード変化: 22文字, CAPTURE含む=False
2026-04-13 06:36:26,936 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 06:40:47,864 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 06:41:26,285 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 06:52:10,603 DEBUG クリップボード変化: 24文字, CAPTURE含む=False
2026-04-13 06:52:53,827 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 06:56:29,145 DEBUG クリップボード変化: 106文字, CAPTURE含む=False
2026-04-13 06:57:33,182 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 07:04:13,390 DEBUG クリップボード変化: 23文字, CAPTURE含む=False
2026-04-13 07:04:32,601 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 07:05:19,023 DEBUG クリップボード変化: 12文字, CAPTURE含む=False
2026-04-13 07:08:56,737 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 07:14:36,126 DEBUG クリップボード変化: 4819文字, CAPTURE含む=False
2026-04-13 07:15:03,342 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 07:54:03,749 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 08:55:21,671 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 08:55:52,888 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 20:42:26,978 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 20:59:14,675 DEBUG クリップボード変化: 1039文字, CAPTURE含む=False
2026-04-13 21:05:02,857 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 21:05:45,280 DEBUG クリップボード変化: 36文字, CAPTURE含む=False
2026-04-13 21:09:22,984 DEBUG クリップボード変化: 53文字, CAPTURE含む=False
2026-04-13 21:21:23,327 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 21:23:28,186 DEBUG クリップボード変化: 37文字, CAPTURE含む=False
2026-04-13 21:23:42,594 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 21:24:22,613 DEBUG クリップボード変化: 37文字, CAPTURE含む=False
2026-04-13 21:24:39,421 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 21:25:01,830 DEBUG クリップボード変化: 37文字, CAPTURE含む=False
2026-04-13 21:29:13,959 DEBUG クリップボード変化: 55文字, CAPTURE含む=False
2026-04-13 21:32:32,449 DEBUG クリップボード変化: 15文字, CAPTURE含む=False
2026-04-13 21:32:49,257 DEBUG クリップボード変化: 37文字, CAPTURE含む=False
2026-04-13 21:33:36,481 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 21:35:51,747 DEBUG クリップボード変化: 37文字, CAPTURE含む=False
2026-04-13 21:37:12,585 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 21:38:01,410 DEBUG クリップボード変化: 37文字, CAPTURE含む=False
2026-04-13 21:38:12,617 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 21:44:09,574 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 21:45:28,815 DEBUG クリップボード変化: 37文字, CAPTURE含む=False
2026-04-13 21:46:37,649 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 21:51:51,468 DEBUG クリップボード変化: 809文字, CAPTURE含む=False
2026-04-13 21:54:14,748 DEBUG クリップボード変化: 4016文字, CAPTURE含む=False
2026-04-13 21:54:49,166 DEBUG クリップボード変化: 57文字, CAPTURE含む=False
2026-04-13 21:55:42,792 DEBUG クリップボード変化: 1401文字, CAPTURE含む=False
2026-04-13 21:58:45,289 DEBUG クリップボード変化: 324文字, CAPTURE含む=False
2026-04-13 22:04:09,443 DEBUG クリップボード変化: 42文字, CAPTURE含む=False
2026-04-13 22:06:18,308 DEBUG クリップボード変化: 37文字, CAPTURE含む=False
2026-04-13 22:06:35,917 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 22:08:31,166 DEBUG クリップボード変化: 36文字, CAPTURE含む=False
2026-04-13 22:09:23,208 DEBUG クリップボード変化: 40文字, CAPTURE含む=False
2026-04-13 22:09:41,616 DEBUG クリップボード変化: 46文字, CAPTURE含む=False
2026-04-13 22:10:04,828 DEBUG クリップボード変化: 49文字, CAPTURE含む=False
2026-04-13 22:10:11,231 DEBUG クリップボード変化: 36文字, CAPTURE含む=False
2026-04-13 22:41:28,926 DEBUG クリップボード変化: 36文字, CAPTURE含む=False
2026-04-13 22:48:48,350 DEBUG クリップボード変化: 9文字, CAPTURE含む=False
2026-04-13 22:48:54,754 DEBUG クリップボード変化: 13文字, CAPTURE含む=False
2026-04-13 22:49:00,356 DEBUG クリップボード変化: 19文字, CAPTURE含む=False
2026-04-13 22:50:30,799 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-13 22:52:30,888 DEBUG クリップボード変化: 56文字, CAPTURE含む=False
2026-04-13 22:56:13,391 DEBUG クリップボード変化: 40文字, CAPTURE含む=False
2026-04-13 23:08:59,041 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-14 06:48:17,345 DEBUG クリップボード変化: 40文字, CAPTURE含む=False
2026-04-14 06:50:07,242 DEBUG クリップボード変化: 39文字, CAPTURE含む=False
2026-04-14 06:50:28,052 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-14 06:56:16,211 DEBUG クリップボード変化: 17文字, CAPTURE含む=False
2026-04-14 06:56:35,419 DEBUG クリップボード変化: 52文字, CAPTURE含む=False
2026-04-14 06:58:23,476 DEBUG クリップボード変化: 36文字, CAPTURE含む=False
2026-04-14 06:59:53,158 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-14 07:02:06,841 DEBUG クリップボード変化: 36文字, CAPTURE含む=False
2026-04-14 07:02:20,448 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-14 07:08:24,622 DEBUG クリップボード変化: 36文字, CAPTURE含む=False
2026-04-14 07:10:11,876 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-14 07:15:48,843 DEBUG クリップボード変化: 38文字, CAPTURE含む=False
2026-04-14 07:18:17,717 DEBUG クリップボード変化: 57文字, CAPTURE含む=False
2026-04-14 07:18:33,725 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-14 07:19:40,151 DEBUG クリップボード変化: 46文字, CAPTURE含む=False
2026-04-14 19:59:37,201 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
2026-04-14 19:59:47,287 DEBUG クリップボード変化: 46文字, CAPTURE含む=False
2026-04-14 20:01:57,204 DEBUG クリップボード変化: 2627文字, CAPTURE含む=False
2026-04-14 20:21:14,874 INFO 起動しました
2026-04-14 20:23:42,994 DEBUG クリップボード変化: 4521文字, CAPTURE含む=False
2026-04-14 20:24:42,226 DEBUG クリップボード変化: 719文字, CAPTURE含む=False
2026-04-14 20:27:24,714 DEBUG クリップボード変化: 309文字, CAPTURE含む=False
2026-04-14 20:27:51,130 DEBUG クリップボード変化: 34文字, CAPTURE含む=False
2026-04-14 20:28:07,940 DEBUG クリップボード変化: 0文字, CAPTURE含む=False
